model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
XGB,sensitive_marital,ThresholdOptimizer,Old/Class_0,0.0742,0.3832,0.0257,3600.0,0.1356
XGB,sensitive_marital,Suppression,Young/Class_1,0.0687,0.4123,0.0285,5443.0,0.1047
XGB,sensitive_marital,Suppression,Old/Class_0,0.0908,0.4549,0.0337,3600.0,0.1356
LogisticRegression,sensitive_education,Baseline,Old/Class_0,0.1948,0.7856,0.1285,6336.0,0.1009
LogisticRegression,sensitive_education,Baseline,Young/Class_1,0.3284,0.8592,0.2312,2707.0,0.1548
LogisticRegression,sensitive_education,Reweighing,Old/Class_0,0.2028,0.7997,0.1359,6336.0,0.1009
LogisticRegression,sensitive_education,Reweighing,Young/Class_1,0.3207,0.8473,0.2242,2707.0,0.1548
LogisticRegression,sensitive_education,ExponentiatedGradient,Old/Class_0,0.2184,0.8263,0.1503,6336.0,0.1009
LogisticRegression,sensitive_education,ExponentiatedGradient,Young/Class_1,0.2538,0.7828,0.1569,2707.0,0.1548
LogisticRegression,sensitive_education,ThresholdOptimizer,Old/Class_0,0.068,0.4053,0.0302,6336.0,0.1009
LogisticRegression,sensitive_education,ThresholdOptimizer,Young/Class_1,0.0706,0.3031,0.028,2707.0,0.1548
LogisticRegression,sensitive_education,Suppression,Old/Class_0,0.2058,0.8028,0.1388,6336.0,0.1009
LogisticRegression,sensitive_education,Suppression,Young/Class_1,0.2904,0.8282,0.1919,2707.0,0.1548
RandomForest,sensitive_education,Baseline,Old/Class_0,0.0475,0.3192,0.017,6336.0,0.1009
RandomForest,sensitive_education,Baseline,Young/Class_1,0.0872,0.3962,0.0306,2707.0,0.1548
RandomForest,sensitive_education,Reweighing,Old/Class_0,0.05,0.3192,0.0198,6336.0,0.1009
RandomForest,sensitive_education,Reweighing,Young/Class_1,0.0853,0.389,0.0297,2707.0,0.1548
RandomForest,sensitive_education,ExponentiatedGradient,Old/Class_0,0.0497,0.3146,0.02,6336.0,0.1009
RandomForest,sensitive_education,ExponentiatedGradient,Young/Class_1,0.0709,0.3246,0.0245,2707.0,0.1548
RandomForest,sensitive_education,ThresholdOptimizer,Old/Class_0,0.101,0.5696,0.0484,6336.0,0.1009
RandomForest,sensitive_education,ThresholdOptimizer,Young/Class_1,0.034,0.1695,0.0092,2707.0,0.1548
RandomForest,sensitive_education,Suppression,Old/Class_0,0.0515,0.3302,0.0202,6336.0,0.1009
RandomForest,sensitive_education,Suppression,Young/Class_1,0.0827,0.3795,0.0284,2707.0,0.1548
XGB,sensitive_education,Baseline,Old/Class_0,0.0634,0.4053,0.0251,6336.0,0.1009
XGB,sensitive_education,Baseline,Young/Class_1,0.109,0.4821,0.0406,2707.0,0.1548
XGB,sensitive_education,Reweighing,Old/Class_0,0.0663,0.4288,0.0256,6336.0,0.1009
XGB,sensitive_education,Reweighing,Young/Class_1,0.109,0.4797,0.0411,2707.0,0.1548
XGB,sensitive_education,ExponentiatedGradient,Old/Class_0,0.0698,0.4397,0.0283,6336.0,0.1009
XGB,sensitive_education,ExponentiatedGradient,Young/Class_1,0.0872,0.3819,0.0332,2707.0,0.1548
XGB,sensitive_education,ThresholdOptimizer,Old/Class_0,0.072,0.4507,0.0295,6336.0,0.1009
XGB,sensitive_education,ThresholdOptimizer,Young/Class_1,0.0765,0.3532,0.0258,2707.0,0.1548
XGB,sensitive_education,Suppression,Old/Class_0,0.0671,0.4257,0.0269,6336.0,0.1009
XGB,sensitive_education,Suppression,Young/Class_1,0.1023,0.4487,0.0389,2707.0,0.1548
