model,sensitive_attr,miti_method,group,selection_rate,true_positive_rate,false_positive_rate,count,positive_rate
RandomForest,region,Suppression,East_Midlands_Region,0.4574,0.6775,0.2685,1128.0,0.4619
RandomForest,region,Suppression,North_Western_Region,0.42,0.641,0.2709,581.0,0.4028
RandomForest,region,Suppression,London_Region,0.4348,0.6403,0.2682,621.0,0.4477
RandomForest,region,Suppression,South_Region,0.5213,0.7055,0.3099,610.0,0.5344
RandomForest,region,Suppression,Ireland,0.5785,0.697,0.4066,223.0,0.5919
RandomForest,region,Suppression,North_Region,0.4391,0.6364,0.2398,394.0,0.5025
RandomForest,region,Suppression,West_Midlands_Region,0.4205,0.6207,0.2823,497.0,0.4085
RandomForest,region,Suppression,Yorkshire_Region,0.4539,0.6717,0.2622,423.0,0.4681
RandomForest,region,Suppression,Scotland,0.5331,0.7211,0.348,679.0,0.4963
RandomForest,region,Suppression,South_West_Region,0.4626,0.6667,0.2659,495.0,0.4909
RandomForest,region,Suppression,Wales,0.4606,0.6686,0.3115,419.0,0.4177
XGB,region,Baseline,South_East_Region,0.5857,0.7802,0.3779,449.0,0.5167
XGB,region,Baseline,East_Midlands_Region,0.5053,0.7409,0.3031,1128.0,0.4619
XGB,region,Baseline,North_Western_Region,0.4079,0.6496,0.245,581.0,0.4028
XGB,region,Baseline,London_Region,0.4493,0.6547,0.2828,621.0,0.4477
XGB,region,Baseline,South_Region,0.5885,0.7975,0.3486,610.0,0.5344
XGB,region,Baseline,Ireland,0.6457,0.8106,0.4066,223.0,0.5919
XGB,region,Baseline,North_Region,0.5457,0.7879,0.301,394.0,0.5025
XGB,region,Baseline,West_Midlands_Region,0.4527,0.7094,0.2755,497.0,0.4085
XGB,region,Baseline,Yorkshire_Region,0.5154,0.7525,0.3067,423.0,0.4681
XGB,region,Baseline,Scotland,0.5405,0.73,0.3538,679.0,0.4963
XGB,region,Baseline,South_West_Region,0.5455,0.7984,0.3016,495.0,0.4909
XGB,region,Baseline,Wales,0.4797,0.7143,0.3115,419.0,0.4177
XGB,region,Reweighing,South_East_Region,0.5813,0.7888,0.3594,449.0,0.5167
XGB,region,Reweighing,East_Midlands_Region,0.5018,0.7294,0.3064,1128.0,0.4619
XGB,region,Reweighing,North_Western_Region,0.4028,0.6239,0.2536,581.0,0.4028
XGB,region,Reweighing,London_Region,0.4396,0.6583,0.2624,621.0,0.4477
XGB,region,Reweighing,South_Region,0.577,0.7761,0.3486,610.0,0.5344
XGB,region,Reweighing,Ireland,0.6502,0.7955,0.4396,223.0,0.5919
XGB,region,Reweighing,North_Region,0.5558,0.798,0.3112,394.0,0.5025
XGB,region,Reweighing,West_Midlands_Region,0.4588,0.7389,0.2653,497.0,0.4085
